"Accession.New","MouseGeneName","Description","Sample1","Sample2","Sample3","Sample4","Sample5","Accession.Number.ori","Accession.Number"
"GDIR1_MOUSE","Arhgdia","Rho GDP-dissociation inhibitor 1 OS=Mus musculus OX=10090 GN=Arhgdia PE=1 SV=3",10,9,9,9,9,"GDIR1_MOUSE","GDIR1_MOUSE"
"CO1A2_MOUSE","Col1a2","Collagen alpha-2(I) chain OS=Mus musculus OX=10090 GN=Col1a2 PE=1 SV=2",9,9,9,11,10,"CO1A2_MOUSE","CO1A2_MOUSE"
"CREG1_MOUSE","Creg1","Protein CREG1 OS=Mus musculus OX=10090 GN=Creg1 PE=1 SV=1",6,6,3,7,5,"CREG1_MOUSE","CREG1_MOUSE"
"PR2B1_MOUSE","Prl2b1","Prolactin-2B1 OS=Mus musculus OX=10090 GN=Prl2b1 PE=2 SV=1",11,11,9,11,11,"PR2B1_MOUSE","PR2B1_MOUSE"
"PSA1_MOUSE","Psma1","Proteasome subunit alpha type-1 OS=Mus musculus OX=10090 GN=Psma1 PE=1 SV=1",17,16,11,17,17,"PSA1_MOUSE","PSA1_MOUSE"
"FABP4_MOUSE","Fabp4","Fatty acid-binding protein, adipocyte OS=Mus musculus OX=10090 GN=Fabp4 PE=1 SV=3",9,8,9,9,9,"FABP4_MOUSE","FABP4_MOUSE"
"F8WIV2_MOUSE","Serpinb6a","Serine (or cysteine) peptidase inhibitor, clade B, member 6a OS=Mus musculus OX=10090 GN=Serpinb6a PE=1 SV=1",17,13,12,18,17,"F8WIV2_MOUSE","F8WIV2_MOUSE"
"1433F_MOUSE","Ywhah","14-3-3 protein eta OS=Mus musculus OX=10090 GN=Ywhah PE=1 SV=2",11,7,11,10,11,"1433F_MOUSE","1433F_MOUSE"
"GATM_MOUSE","Gatm","Glycine amidinotransferase, mitochondrial OS=Mus musculus OX=10090 GN=Gatm PE=1 SV=1",16,13,14,15,11,"GATM_MOUSE","GATM_MOUSE"
"EF1G_MOUSE","Eef1g","Elongation factor 1-gamma OS=Mus musculus OX=10090 GN=Eef1g PE=1 SV=3",15,14,11,17,15,"EF1G_MOUSE","EF1G_MOUSE"
"LEG1_MOUSE","Lgals1","Galectin-1 OS=Mus musculus OX=10090 GN=Lgals1 PE=1 SV=3",7,7,8,7,9,"LEG1_MOUSE","LEG1_MOUSE"
"CYTC_MOUSE","Cst3","Cystatin-C OS=Mus musculus OX=10090 GN=Cst3 PE=1 SV=2",7,7,7,7,8,"CYTC_MOUSE","CYTC_MOUSE"
"EZRI_MOUSE","Ezr","Ezrin OS=Mus musculus OX=10090 GN=Ezr PE=1 SV=3",18,17,14,17,17,"EZRI_MOUSE","EZRI_MOUSE"
"PGM1_MOUSE","Pgm1","Phosphoglucomutase-1 OS=Mus musculus OX=10090 GN=Pgm1 PE=1 SV=4",21,18,15,15,21,"PGM1_MOUSE","PGM1_MOUSE"
"LKHA4_MOUSE","Lta4h","Leukotriene A-4 hydrolase OS=Mus musculus OX=10090 GN=Lta4h PE=1 SV=4",22,16,16,17,22,"LKHA4_MOUSE","LKHA4_MOUSE"
"FSTL1_MOUSE","Fstl1","Follistatin-related protein 1 OS=Mus musculus OX=10090 GN=Fstl1 PE=1 SV=2",11,8,10,15,15,"FSTL1_MOUSE","FSTL1_MOUSE"
"A0A0A0MQ97_MOUSE","Nccrp1","F-box only protein 50 OS=Mus musculus OX=10090 GN=Nccrp1 PE=1 SV=1",9,10,8,11,10,"A0A0A0MQ97_MOUSE (+1)","A0A0A0MQ97_MOUSE"
"Q9D2U0_MOUSE","Psg23","MCG140255 OS=Mus musculus OX=10090 GN=Psg23 PE=1 SV=1",7,5,5,7,5,"Q9D2U0_MOUSE","Q9D2U0_MOUSE"
"CAPZB_MOUSE","Capzb","Isoform 2 of F-actin-capping protein subunit beta OS=Mus musculus OX=10090 GN=Capzb",11,10,11,14,15,"sp|P47757-2|CAPZB_MOUSE","CAPZB_MOUSE"
"FABP5_MOUSE","Fabp5","Fatty acid-binding protein, epidermal OS=Mus musculus OX=10090 GN=Fabp5 PE=1 SV=3",9,9,10,8,9,"FABP5_MOUSE","FABP5_MOUSE"
"KCRB_MOUSE","Ckb","Creatine kinase B-type OS=Mus musculus OX=10090 GN=Ckb PE=1 SV=1",15,11,11,15,14,"KCRB_MOUSE","KCRB_MOUSE"
"6PGD_MOUSE","Pgd","6-phosphogluconate dehydrogenase, decarboxylating OS=Mus musculus OX=10090 GN=Pgd PE=1 SV=3",12,10,13,13,14,"6PGD_MOUSE","6PGD_MOUSE"
"B1B0C7_MOUSE","Hspg2","Basement membrane-specific heparan sulfate proteoglycan core protein OS=Mus musculus OX=10090 GN=Hspg2 PE=1 SV=1",25,12,29,18,19,"B1B0C7_MOUSE (+1)","B1B0C7_MOUSE"
"CYC_MOUSE","Cycs","Cytochrome c, somatic OS=Mus musculus OX=10090 GN=Cycs PE=1 SV=2",6,6,6,6,6,"CYC_MOUSE","CYC_MOUSE"
"G3X8T3_MOUSE","Ctsa","Carboxypeptidase OS=Mus musculus OX=10090 GN=Ctsa PE=1 SV=1",13,10,9,12,13,"G3X8T3_MOUSE (+1)","G3X8T3_MOUSE"
"IC1_MOUSE","Serping1","Plasma protease C1 inhibitor OS=Mus musculus OX=10090 GN=Serping1 PE=1 SV=3",13,10,12,12,12,"IC1_MOUSE","IC1_MOUSE"
"E9PZ87_MOUSE","Pappa2","Pappalysin 2 OS=Mus musculus OX=10090 GN=Pappa2 PE=1 SV=1",22,15,3,20,17,"E9PZ87_MOUSE","E9PZ87_MOUSE"
"CO3A1_MOUSE","Col3a1","Collagen alpha-1(III) chain OS=Mus musculus OX=10090 GN=Col3a1 PE=1 SV=4",11,8,6,10,6,"CO3A1_MOUSE","CO3A1_MOUSE"
"UGGG1_MOUSE","Uggt1","UDP-glucose:glycoprotein glucosyltransferase 1 OS=Mus musculus OX=10090 GN=Uggt1 PE=1 SV=4",23,23,9,25,22,"UGGG1_MOUSE","UGGG1_MOUSE"
"AK1A1_MOUSE","Akr1a1","Alcohol dehydrogenase [NADP(+)] OS=Mus musculus OX=10090 GN=Akr1a1 PE=1 SV=3",11,9,11,12,9,"AK1A1_MOUSE","AK1A1_MOUSE"
"MAOX_MOUSE","Me1","NADP-dependent malic enzyme OS=Mus musculus OX=10090 GN=Me1 PE=1 SV=2",16,13,8,20,20,"MAOX_MOUSE","MAOX_MOUSE"
"IF4A1_MOUSE","Eif4a1","Eukaryotic initiation factor 4A-I OS=Mus musculus OX=10090 GN=Eif4a1 PE=1 SV=1",15,14,12,14,15,"IF4A1_MOUSE","IF4A1_MOUSE"
"PLOD1_MOUSE","Plod1","Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 OS=Mus musculus OX=10090 GN=Plod1 PE=1 SV=1",25,17,14,20,21,"PLOD1_MOUSE","PLOD1_MOUSE"
"A0A286YC78_MOUSE","Prl3d1","Growth hormone d4 OS=Mus musculus OX=10090 GN=Prl3d1 PE=2 SV=1",6,6,7,8,7,"A0A286YC78_MOUSE (+1)","A0A286YC78_MOUSE"
"GDN_MOUSE","Serpine2","Glia-derived nexin OS=Mus musculus OX=10090 GN=Serpine2 PE=1 SV=2",16,14,13,16,15,"GDN_MOUSE","GDN_MOUSE"
"1433G_MOUSE","Ywhag","14-3-3 protein gamma OS=Mus musculus OX=10090 GN=Ywhag PE=1 SV=2",8,9,9,8,10,"1433G_MOUSE","1433G_MOUSE"
"UBA1_MOUSE","Uba1","Ubiquitin-like modifier-activating enzyme 1 OS=Mus musculus OX=10090 GN=Uba1 PE=1 SV=1",22,16,11,20,19,"UBA1_MOUSE","UBA1_MOUSE"
"CO4A2_MOUSE","Col4a2","Collagen alpha-2(IV) chain OS=Mus musculus OX=10090 GN=Col4a2 PE=1 SV=4",9,9,8,9,13,"CO4A2_MOUSE","CO4A2_MOUSE"
"Q8CFH0_MOUSE","Prl8a8","Prolactin-8A8 OS=Mus musculus OX=10090 GN=Prl8a8 PE=2 SV=1",9,7,4,9,9,"Q8CFH0_MOUSE (+2)","Q8CFH0_MOUSE"
"QSOX1_MOUSE","Qsox1","Sulfhydryl oxidase 1 OS=Mus musculus OX=10090 GN=Qsox1 PE=1 SV=1",19,12,16,17,17,"sp|Q8BND5|QSOX1_MOUSE","QSOX1_MOUSE"
"CO3_MOUSE","C3","Complement C3 OS=Mus musculus OX=10090 GN=C3 PE=1 SV=3",10,8,8,11,9,"sp|P01027|CO3_MOUSE","CO3_MOUSE"
"ANT3_MOUSE","Serpinc1","Antithrombin-III OS=Mus musculus OX=10090 GN=Serpinc1 PE=1 SV=1",5,4,5,4,3,"ANT3_MOUSE","ANT3_MOUSE"
"DNPEP_MOUSE","Dnpep","Aspartyl aminopeptidase OS=Mus musculus OX=10090 GN=Dnpep PE=1 SV=2",11,9,13,15,12,"DNPEP_MOUSE (+1)","DNPEP_MOUSE"
"IDHC_MOUSE","Idh1","Isocitrate dehydrogenase [NADP] cytoplasmic OS=Mus musculus OX=10090 GN=Idh1 PE=1 SV=2",17,11,10,15,16,"IDHC_MOUSE","IDHC_MOUSE"
"A2AVJ7_MOUSE","Rrbp1","Ribosome-binding protein 1 OS=Mus musculus OX=10090 GN=Rrbp1 PE=1 SV=1",14,15,6,13,18,"A2AVJ7_MOUSE (+1)","A2AVJ7_MOUSE"
"AATC_MOUSE","Got1","Aspartate aminotransferase, cytoplasmic OS=Mus musculus OX=10090 GN=Got1 PE=1 SV=3",16,17,12,15,19,"AATC_MOUSE","AATC_MOUSE"
"CAP1_MOUSE","Cap1","Adenylyl cyclase-associated protein 1 OS=Mus musculus OX=10090 GN=Cap1 PE=1 SV=4",12,12,6,14,14,"CAP1_MOUSE","CAP1_MOUSE"
"Q4KL31_MOUSE","Psg19","MCG1255, isoform CRA_b OS=Mus musculus OX=10090 GN=Psg19 PE=2 SV=1",11,11,8,10,12,"Q4KL31_MOUSE","Q4KL31_MOUSE"
"PR4A1_MOUSE","Prl4a1","Prolactin-4A1 OS=Mus musculus OX=10090 GN=Prl4a1 PE=2 SV=1",8,7,4,8,9,"PR4A1_MOUSE","PR4A1_MOUSE"
"ARPC2_MOUSE","Arpc2","Actin-related protein 2/3 complex subunit 2 OS=Mus musculus OX=10090 GN=Arpc2 PE=1 SV=3",11,10,10,11,13,"ARPC2_MOUSE","ARPC2_MOUSE"
"PGS1_MOUSE","Bgn","Biglycan OS=Mus musculus OX=10090 GN=Bgn PE=1 SV=1",11,10,10,13,11,"PGS1_MOUSE","PGS1_MOUSE"
"POSTN_MOUSE","Postn","Isoform 2 of Periostin OS=Mus musculus OX=10090 GN=Postn",14,10,7,20,12,"sp|Q62009-2|POSTN_MOUSE","POSTN_MOUSE"
"CAH1_MOUSE","Ca1","Carbonic anhydrase 1 OS=Mus musculus OX=10090 GN=Ca1 PE=1 SV=4",8,12,12,12,9,"CAH1_MOUSE","CAH1_MOUSE"
"COPA_MOUSE","Copa","Coatomer subunit alpha OS=Mus musculus OX=10090 GN=Copa PE=1 SV=2",17,16,7,22,23,"COPA_MOUSE","COPA_MOUSE"
"TCTP_MOUSE","Tpt1","Translationally-controlled tumor protein OS=Mus musculus OX=10090 GN=Tpt1 PE=1 SV=1",9,8,9,9,8,"TCTP_MOUSE","TCTP_MOUSE"
"COPB2_MOUSE","Copb2","Coatomer subunit beta' OS=Mus musculus OX=10090 GN=Copb2 PE=1 SV=2",20,13,8,16,17,"COPB2_MOUSE","COPB2_MOUSE"
"GUAD_MOUSE","Gda","Guanine deaminase OS=Mus musculus OX=10090 GN=Gda PE=1 SV=1",17,18,12,18,17,"GUAD_MOUSE","GUAD_MOUSE"
"O08804_MOUSE","Serpinb6b","NK13 OS=Mus musculus OX=10090 GN=Serpinb6b PE=1 SV=2",11,10,7,12,12,"O08804_MOUSE","O08804_MOUSE"
"Q99LB4_MOUSE","Capg","Capping protein (Actin filament), gelsolin-like OS=Mus musculus OX=10090 GN=Capg PE=1 SV=1",8,8,7,10,9,"Q99LB4_MOUSE","Q99LB4_MOUSE"
"THIO_MOUSE","Txn","Thioredoxin OS=Mus musculus OX=10090 GN=Txn PE=1 SV=3",8,5,5,6,7,"THIO_MOUSE","THIO_MOUSE"
"E9PX70_MOUSE","Col12a1","Collagen alpha-1(XII) chain OS=Mus musculus OX=10090 GN=Col12a1 PE=1 SV=1",20,4,8,29,29,"E9PX70_MOUSE (+3)","E9PX70_MOUSE"
"PXDN_MOUSE","Pxdn","Peroxidasin homolog OS=Mus musculus OX=10090 GN=Pxdn PE=1 SV=2",22,8,7,28,23,"PXDN_MOUSE","PXDN_MOUSE"
"Q4KL66_MOUSE","Psg28","Pregnancy-specific glycoprotein 28 OS=Mus musculus OX=10090 GN=Psg28 PE=2 SV=1",10,10,4,10,10,"Q4KL66_MOUSE","Q4KL66_MOUSE"
"Q9Z1R9_MOUSE","Prss1","MCG124046 OS=Mus musculus OX=10090 GN=Prss1 PE=1 SV=1",2,0,2,2,2,"Q9Z1R9_MOUSE","Q9Z1R9_MOUSE"
"LGMN_MOUSE","Lgmn","Legumain OS=Mus musculus OX=10090 GN=Lgmn PE=1 SV=1",10,8,10,10,11,"LGMN_MOUSE","LGMN_MOUSE"
"LYZ2_MOUSE","Lyz2","Lysozyme C-2 OS=Mus musculus OX=10090 GN=Lyz2 PE=1 SV=2",2,3,4,3,3,"LYZ2_MOUSE","LYZ2_MOUSE"
"SAHH_MOUSE","Ahcy","Adenosylhomocysteinase OS=Mus musculus OX=10090 GN=Ahcy PE=1 SV=3",13,15,13,15,14,"SAHH_MOUSE","SAHH_MOUSE"
"E9QPB2_MOUSE","Sbsn","Suprabasin OS=Mus musculus OX=10090 GN=Sbsn PE=1 SV=1",10,10,7,13,14,"E9QPB2_MOUSE","E9QPB2_MOUSE"
"HBBZ_MOUSE","Hbb-bh1","Hemoglobin subunit beta-H1 OS=Mus musculus OX=10090 GN=Hbb-bh1 PE=2 SV=3",10,11,10,10,11,"HBBZ_MOUSE","HBBZ_MOUSE"
"TCPB_MOUSE","Cct2","T-complex protein 1 subunit beta OS=Mus musculus OX=10090 GN=Cct2 PE=1 SV=4",16,17,8,14,17,"TCPB_MOUSE","TCPB_MOUSE"
"MA2A1_MOUSE","Man2a1","Alpha-mannosidase 2 OS=Mus musculus OX=10090 GN=Man2a1 PE=1 SV=2",19,13,12,16,17,"MA2A1_MOUSE","MA2A1_MOUSE"
"AP2B1_MOUSE","Ap2b1","Isoform 2 of AP-2 complex subunit beta OS=Mus musculus OX=10090 GN=Ap2b1",18,15,9,15,18,"sp|Q9DBG3-2|AP2B1_MOUSE (+1)","AP2B1_MOUSE"
"CATZ_MOUSE","Ctsz","Cathepsin Z OS=Mus musculus OX=10090 GN=Ctsz PE=1 SV=1",8,6,6,8,7,"CATZ_MOUSE","CATZ_MOUSE"
"HA11_MOUSE","H2-D1","H-2 class I histocompatibility antigen, D-B alpha chain OS=Mus musculus OX=10090 GN=H2-D1 PE=1 SV=2",11,9,11,10,10,"HA11_MOUSE","HA11_MOUSE"
"MDHC_MOUSE","Mdh1","Malate dehydrogenase, cytoplasmic OS=Mus musculus OX=10090 GN=Mdh1 PE=1 SV=3",11,10,11,10,12,"MDHC_MOUSE","MDHC_MOUSE"
"A0A1W2P6F6_MOUSE","Myl6","Myosin light polypeptide 6 OS=Mus musculus OX=10090 GN=Myl6 PE=1 SV=1",9,8,7,9,8,"A0A1W2P6F6_MOUSE (+3)","A0A1W2P6F6_MOUSE"
"ARP3_MOUSE","Actr3","Actin-related protein 3 OS=Mus musculus OX=10090 GN=Actr3 PE=1 SV=3",12,16,9,13,12,"ARP3_MOUSE","ARP3_MOUSE"
"DYHC1_MOUSE","Dync1h1","Cytoplasmic dynein 1 heavy chain 1 OS=Mus musculus OX=10090 GN=Dync1h1 PE=1 SV=2",16,12,0,14,18,"DYHC1_MOUSE","DYHC1_MOUSE"
"DDB1_MOUSE","Ddb1","DNA damage-binding protein 1 OS=Mus musculus OX=10090 GN=Ddb1 PE=1 SV=2",20,20,8,22,11,"DDB1_MOUSE","DDB1_MOUSE"
"DEST_MOUSE","Dstn","Destrin OS=Mus musculus OX=10090 GN=Dstn PE=1 SV=3",12,10,10,10,9,"DEST_MOUSE","DEST_MOUSE"
"ERP29_MOUSE","Erp29","Endoplasmic reticulum resident protein 29 OS=Mus musculus OX=10090 GN=Erp29 PE=1 SV=2",10,11,10,11,9,"ERP29_MOUSE","ERP29_MOUSE"
"FRIH_MOUSE","Fth1","Ferritin heavy chain OS=Mus musculus OX=10090 GN=Fth1 PE=1 SV=2",11,7,9,8,10,"FRIH_MOUSE","FRIH_MOUSE"
"LDHB_MOUSE","Ldhb","L-lactate dehydrogenase B chain OS=Mus musculus OX=10090 GN=Ldhb PE=1 SV=2",11,10,6,11,9,"LDHB_MOUSE","LDHB_MOUSE"
"SODC_MOUSE","Sod1","Superoxide dismutase [Cu-Zn] OS=Mus musculus OX=10090 GN=Sod1 PE=1 SV=2",7,6,7,7,6,"SODC_MOUSE","SODC_MOUSE"
"PMGE_MOUSE","Bpgm","Bisphosphoglycerate mutase OS=Mus musculus OX=10090 GN=Bpgm PE=1 SV=2",7,8,7,7,8,"PMGE_MOUSE","PMGE_MOUSE"
"CADH5_MOUSE","Cdh5","Cadherin-5 OS=Mus musculus OX=10090 GN=Cdh5 PE=1 SV=2",16,12,9,16,17,"CADH5_MOUSE","CADH5_MOUSE"
"CNDP2_MOUSE","Cndp2","Cytosolic non-specific dipeptidase OS=Mus musculus OX=10090 GN=Cndp2 PE=1 SV=1",16,11,8,12,18,"CNDP2_MOUSE","CNDP2_MOUSE"
"CO4A1_MOUSE","Col4a1","Collagen alpha-1(IV) chain OS=Mus musculus OX=10090 GN=Col4a1 PE=1 SV=4",6,5,6,5,6,"CO4A1_MOUSE","CO4A1_MOUSE"
"PSA3_MOUSE","Psma3","Proteasome subunit alpha type-3 OS=Mus musculus OX=10090 GN=Psma3 PE=1 SV=3",13,6,9,12,11,"PSA3_MOUSE","PSA3_MOUSE"
"STIP1_MOUSE","Stip1","Stress-induced-phosphoprotein 1 OS=Mus musculus OX=10090 GN=Stip1 PE=1 SV=1",12,14,7,15,13,"STIP1_MOUSE","STIP1_MOUSE"
"APOE_MOUSE","Apoe","Apolipoprotein E OS=Mus musculus OX=10090 GN=Apoe PE=1 SV=2",8,10,10,11,8,"APOE_MOUSE","APOE_MOUSE"
"HXK1_MOUSE","Hk1","Isoform HK1-SC of Hexokinase-1 OS=Mus musculus OX=10090 GN=Hk1",13,15,9,14,10,"sp|P17710-4|HXK1_MOUSE","HXK1_MOUSE"
"UGPA_MOUSE","Ugp2","UTP--glucose-1-phosphate uridylyltransferase OS=Mus musculus OX=10090 GN=Ugp2 PE=1 SV=3",15,13,11,12,12,"sp|Q91ZJ5|UGPA_MOUSE","UGPA_MOUSE"
"COPD_MOUSE","Arcn1","Coatomer subunit delta OS=Mus musculus OX=10090 GN=Arcn1 PE=1 SV=2",13,11,8,12,15,"COPD_MOUSE","COPD_MOUSE"
"PSA7_MOUSE","Psma7","Proteasome subunit alpha type-7 OS=Mus musculus OX=10090 GN=Psma7 PE=1 SV=1",10,9,11,10,12,"PSA7_MOUSE","PSA7_MOUSE"
"PSB2_MOUSE","Psmb2","Proteasome subunit beta type-2 OS=Mus musculus OX=10090 GN=Psmb2 PE=1 SV=1",8,10,8,7,11,"PSB2_MOUSE","PSB2_MOUSE"
"ATPB_MOUSE","Atp5f1b","ATP synthase subunit beta, mitochondrial OS=Mus musculus OX=10090 GN=Atp5f1b PE=1 SV=2",17,14,11,13,17,"ATPB_MOUSE","ATPB_MOUSE"
"LASP1_MOUSE","Lasp1","LIM and SH3 domain protein 1 OS=Mus musculus OX=10090 GN=Lasp1 PE=1 SV=1",11,9,8,6,6,"LASP1_MOUSE","LASP1_MOUSE"
"LMNB1_MOUSE","Lmnb1","Lamin-B1 OS=Mus musculus OX=10090 GN=Lmnb1 PE=1 SV=3",18,11,4,16,12,"LMNB1_MOUSE","LMNB1_MOUSE"
"FBLN2_MOUSE","Fbln2","Isoform 2 of Fibulin-2 OS=Mus musculus OX=10090 GN=Fbln2",14,6,7,23,13,"sp|P37889-2|FBLN2_MOUSE (+1)","FBLN2_MOUSE"
"A0A1B0GSG5_MOUSE","Rnh1","Ribonuclease inhibitor OS=Mus musculus OX=10090 GN=Rnh1 PE=1 SV=1",13,13,9,15,10,"A0A1B0GSG5_MOUSE (+1)","A0A1B0GSG5_MOUSE"
"TPP2_MOUSE","Tpp2","Isoform Short of Tripeptidyl-peptidase 2 OS=Mus musculus OX=10090 GN=Tpp2",13,11,9,22,12,"sp|Q64514-2|TPP2_MOUSE","TPP2_MOUSE"
"Q5EBP8_MOUSE","Hnrnpa1","Heterogeneous nuclear ribonucleoprotein A1 OS=Mus musculus OX=10090 GN=Hnrnpa1 PE=1 SV=1",11,10,9,10,10,"Q5EBP8_MOUSE (+1)","Q5EBP8_MOUSE"
"AEBP1_MOUSE","Aebp1","Adipocyte enhancer-binding protein 1 OS=Mus musculus OX=10090 GN=Aebp1 PE=1 SV=1",15,9,11,17,13,"sp|Q640N1|AEBP1_MOUSE","AEBP1_MOUSE"
"ARP2_MOUSE","Actr2","Actin-related protein 2 OS=Mus musculus OX=10090 GN=Actr2 PE=1 SV=1",10,9,5,10,9,"ARP2_MOUSE","ARP2_MOUSE"
"DNSL3_MOUSE","Dnase1l3","Deoxyribonuclease gamma OS=Mus musculus OX=10090 GN=Dnase1l3 PE=1 SV=1",12,10,4,17,13,"DNSL3_MOUSE","DNSL3_MOUSE"
"PADI2_MOUSE","Padi2","Protein-arginine deiminase type-2 OS=Mus musculus OX=10090 GN=Padi2 PE=1 SV=2",15,11,11,13,16,"PADI2_MOUSE","PADI2_MOUSE"
"ARC1B_MOUSE","Arpc1b","Actin-related protein 2/3 complex subunit 1B OS=Mus musculus OX=10090 GN=Arpc1b PE=1 SV=4",10,8,5,11,8,"ARC1B_MOUSE (+1)","ARC1B_MOUSE"
"CSRP1_MOUSE","Csrp1","Cysteine and glycine-rich protein 1 OS=Mus musculus OX=10090 GN=Csrp1 PE=1 SV=3",10,9,7,10,9,"CSRP1_MOUSE","CSRP1_MOUSE"
"HEM2_MOUSE","Alad","Delta-aminolevulinic acid dehydratase OS=Mus musculus OX=10090 GN=Alad PE=1 SV=1",12,10,7,10,12,"HEM2_MOUSE","HEM2_MOUSE"
"PDLI1_MOUSE","Pdlim1","PDZ and LIM domain protein 1 OS=Mus musculus OX=10090 GN=Pdlim1 PE=1 SV=4",12,8,7,10,13,"PDLI1_MOUSE","PDLI1_MOUSE"
"PSA_MOUSE","Npepps","Puromycin-sensitive aminopeptidase OS=Mus musculus OX=10090 GN=Npepps PE=1 SV=2",15,16,13,14,14,"PSA_MOUSE","PSA_MOUSE"
"TCPG_MOUSE","Cct3","T-complex protein 1 subunit gamma OS=Mus musculus OX=10090 GN=Cct3 PE=1 SV=1",15,14,4,14,11,"TCPG_MOUSE","TCPG_MOUSE"
"XDH_MOUSE","Xdh","Xanthine dehydrogenase/oxidase OS=Mus musculus OX=10090 GN=Xdh PE=1 SV=5",17,14,11,16,15,"XDH_MOUSE","XDH_MOUSE"
"LOXL2_MOUSE","Loxl2","Lysyl oxidase homolog 2 OS=Mus musculus OX=10090 GN=Loxl2 PE=1 SV=2",10,6,7,14,11,"sp|P58022|LOXL2_MOUSE","LOXL2_MOUSE"
"CLIC4_MOUSE","Clic4","Chloride intracellular channel protein 4 OS=Mus musculus OX=10090 GN=Clic4 PE=1 SV=3",12,8,6,13,12,"CLIC4_MOUSE","CLIC4_MOUSE"
"Q91ZF4_MOUSE","Ctsq","Cathepsin Q OS=Mus musculus OX=10090 GN=Ctsq PE=1 SV=1",8,5,5,9,8,"Q91ZF4_MOUSE","Q91ZF4_MOUSE"
"GLU2B_MOUSE","Prkcsh","Isoform 2 of Glucosidase 2 subunit beta OS=Mus musculus OX=10090 GN=Prkcsh",9,9,10,9,10,"sp|O08795-2|GLU2B_MOUSE (+1)","GLU2B_MOUSE"
"BLVRB_MOUSE","Blvrb","Flavin reductase (NADPH) OS=Mus musculus OX=10090 GN=Blvrb PE=1 SV=3",6,10,11,10,8,"BLVRB_MOUSE","BLVRB_MOUSE"
"DPP3_MOUSE","Dpp3","Dipeptidyl peptidase 3 OS=Mus musculus OX=10090 GN=Dpp3 PE=1 SV=2",18,13,9,14,15,"DPP3_MOUSE","DPP3_MOUSE"
"S10A9_MOUSE","S100a9","Protein S100-A9 OS=Mus musculus OX=10090 GN=S100a9 PE=1 SV=3",5,3,4,5,4,"S10A9_MOUSE","S10A9_MOUSE"
"VATA_MOUSE","Atp6v1a","V-type proton ATPase catalytic subunit A OS=Mus musculus OX=10090 GN=Atp6v1a PE=1 SV=2",14,11,6,13,13,"sp|P50516|VATA_MOUSE","VATA_MOUSE"
"NUCL_MOUSE","Ncl","Nucleolin OS=Mus musculus OX=10090 GN=Ncl PE=1 SV=2",10,19,5,13,17,"NUCL_MOUSE","NUCL_MOUSE"
"PSA6_MOUSE","Psma6","Proteasome subunit alpha type-6 OS=Mus musculus OX=10090 GN=Psma6 PE=1 SV=1",11,12,10,11,10,"PSA6_MOUSE","PSA6_MOUSE"
"AATM_MOUSE","Got2","Aspartate aminotransferase, mitochondrial OS=Mus musculus OX=10090 GN=Got2 PE=1 SV=1",15,14,12,14,15,"AATM_MOUSE","AATM_MOUSE"
"ANXA2_MOUSE","Anxa2","Annexin A2 OS=Mus musculus OX=10090 GN=Anxa2 PE=1 SV=2",12,9,9,12,12,"ANXA2_MOUSE","ANXA2_MOUSE"
"K2C7_MOUSE","Krt7","Keratin, type II cytoskeletal 7 OS=Mus musculus OX=10090 GN=Krt7 PE=1 SV=1",19,10,6,16,15,"K2C7_MOUSE","K2C7_MOUSE"
"Q6IMK7_MOUSE","Doxl2","Amine oxidase OS=Mus musculus OX=10090 GN=Doxl2 PE=3 SV=1",19,12,11,14,14,"Q6IMK7_MOUSE","Q6IMK7_MOUSE"
"SORCN_MOUSE","Sri","Isoform 2 of Sorcin OS=Mus musculus OX=10090 GN=Sri",8,7,6,7,9,"sp|Q6P069-2|SORCN_MOUSE (+1)","SORCN_MOUSE"
"COTL1_MOUSE","Cotl1","Coactosin-like protein OS=Mus musculus OX=10090 GN=Cotl1 PE=1 SV=3",8,6,6,8,8,"COTL1_MOUSE","COTL1_MOUSE"
"HEXB_MOUSE","Hexb","Beta-hexosaminidase subunit beta OS=Mus musculus OX=10090 GN=Hexb PE=1 SV=2",12,9,11,12,11,"HEXB_MOUSE","HEXB_MOUSE"
"PSB5_MOUSE","Psmb5","Proteasome subunit beta type-5 OS=Mus musculus OX=10090 GN=Psmb5 PE=1 SV=3",10,10,13,10,11,"PSB5_MOUSE","PSB5_MOUSE"
"MMP2_MOUSE","Mmp2","72 kDa type IV collagenase OS=Mus musculus OX=10090 GN=Mmp2 PE=1 SV=1",15,12,8,21,16,"sp|P33434|MMP2_MOUSE","MMP2_MOUSE"
"F6VW30_MOUSE","Ywhaq","14-3-3 protein theta (Fragment) OS=Mus musculus OX=10090 GN=Ywhaq PE=1 SV=1",11,9,7,9,9,"F6VW30_MOUSE (+3)","F6VW30_MOUSE"
"RADI_MOUSE","Rdx","Radixin OS=Mus musculus OX=10090 GN=Rdx PE=1 SV=3",15,11,11,13,12,"RADI_MOUSE","RADI_MOUSE"
"MAP4_MOUSE","Map4","Isoform 2 of Microtubule-associated protein 4 OS=Mus musculus OX=10090 GN=Map4",19,16,5,12,12,"sp|P27546-2|MAP4_MOUSE (+1)","MAP4_MOUSE"
"Q5XJF6_MOUSE","Rpl10a","Ribosomal protein OS=Mus musculus OX=10090 GN=Rpl10a PE=1 SV=1",8,9,7,10,8,"Q5XJF6_MOUSE","Q5XJF6_MOUSE"
