"MouseGeneName","Accession.New.x","Description.x","Sample1.x","Sample2.x","Sample3.x","Sample4.x","Sample5.x","Accession.Number.ori.x","Accession.Number.x","ProteinID.x","Accession.New.y","Description.y","Sample1.y","Sample2.y","Sample3.y","Sample4.y","Sample5.y","Accession.Number.ori.y","Accession.Number.y","ProteinID.y","HumanGeneName"
"Arf1","ARF1_MOUSE","ADP-ribosylation factor 1 OS=Mus musculus OX=10090 GN=Arf1 PE=1 SV=2",6,6,5,4,8,"ARF1_MOUSE","ARF1_MOUSE","P84078","ARF1_MOUSE","ADP-ribosylation factor 1 OS=Mus musculus OX=10090 GN=Arf1 PE=1 SV=2",6,6,5,4,8,"ARF1_MOUSE","ARF1_MOUSE","P84078","ARF1"
"Arg1","ARGI1_MOUSE","Arginase-1 OS=Mus musculus OX=10090 GN=Arg1 PE=1 SV=1",6,4,9,6,0,"ARGI1_MOUSE","ARGI1_MOUSE","Q61176","ARGI1_MOUSE","Arginase-1 OS=Mus musculus OX=10090 GN=Arg1 PE=1 SV=1",6,4,9,6,0,"ARGI1_MOUSE","ARGI1_MOUSE","Q61176","ARG1"
"Arhgap1","A2AH25_MOUSE","Rho GTPase-activating protein 1 OS=Mus musculus OX=10090 GN=Arhgap1 PE=1 SV=1",7,4,0,7,7,"A2AH25_MOUSE (+1)","A2AH25_MOUSE","A2AH25","A2AH25_MOUSE","Rho GTPase-activating protein 1 OS=Mus musculus OX=10090 GN=Arhgap1 PE=1 SV=1",7,4,0,7,7,"A2AH25_MOUSE (+1)","A2AH25_MOUSE","A2AH25","ARHGAP1"
"Arhgdia","GDIR1_MOUSE","Rho GDP-dissociation inhibitor 1 OS=Mus musculus OX=10090 GN=Arhgdia PE=1 SV=3",10,9,9,9,9,"GDIR1_MOUSE","GDIR1_MOUSE","Q99PT1","GDIR1_MOUSE","Rho GDP-dissociation inhibitor 1 OS=Mus musculus OX=10090 GN=Arhgdia PE=1 SV=3",10,9,9,9,9,"GDIR1_MOUSE","GDIR1_MOUSE","Q99PT1","ARHGDIA"
"Arhgdib","GDIR2_MOUSE","Rho GDP-dissociation inhibitor 2 OS=Mus musculus OX=10090 GN=Arhgdib PE=1 SV=3",6,6,6,8,7,"GDIR2_MOUSE","GDIR2_MOUSE","Q61599","GDIR2_MOUSE","Rho GDP-dissociation inhibitor 2 OS=Mus musculus OX=10090 GN=Arhgdib PE=1 SV=3",6,6,6,8,7,"GDIR2_MOUSE","GDIR2_MOUSE","Q61599","ARHGDIB"
"Arpc1b","ARC1B_MOUSE","Actin-related protein 2/3 complex subunit 1B OS=Mus musculus OX=10090 GN=Arpc1b PE=1 SV=4",10,8,5,11,8,"ARC1B_MOUSE (+1)","ARC1B_MOUSE","Q9WV32","ARC1B_MOUSE","Actin-related protein 2/3 complex subunit 1B OS=Mus musculus OX=10090 GN=Arpc1b PE=1 SV=4",10,8,5,11,8,"ARC1B_MOUSE (+1)","ARC1B_MOUSE","Q9WV32","ARPC1B"
"Arpc2","ARPC2_MOUSE","Actin-related protein 2/3 complex subunit 2 OS=Mus musculus OX=10090 GN=Arpc2 PE=1 SV=3",11,10,10,11,13,"ARPC2_MOUSE","ARPC2_MOUSE","Q9CVB6","ARPC2_MOUSE","Actin-related protein 2/3 complex subunit 2 OS=Mus musculus OX=10090 GN=Arpc2 PE=1 SV=3",11,10,10,11,13,"ARPC2_MOUSE","ARPC2_MOUSE","Q9CVB6","ARPC2"
"Arpc3","ARPC3_MOUSE","Actin-related protein 2/3 complex subunit 3 OS=Mus musculus OX=10090 GN=Arpc3 PE=1 SV=3",4,4,2,4,5,"ARPC3_MOUSE","ARPC3_MOUSE","Q9JM76","ARPC3_MOUSE","Actin-related protein 2/3 complex subunit 3 OS=Mus musculus OX=10090 GN=Arpc3 PE=1 SV=3",4,4,2,4,5,"ARPC3_MOUSE","ARPC3_MOUSE","Q9JM76","ARPC3"
"Arpc4","ARPC4_MOUSE","Actin-related protein 2/3 complex subunit 4 OS=Mus musculus OX=10090 GN=Arpc4 PE=1 SV=3",7,6,5,7,7,"ARPC4_MOUSE","ARPC4_MOUSE","P59999","ARPC4_MOUSE","Actin-related protein 2/3 complex subunit 4 OS=Mus musculus OX=10090 GN=Arpc4 PE=1 SV=3",7,6,5,7,7,"ARPC4_MOUSE","ARPC4_MOUSE","P59999","ARPC4"
"Arpc5","ARPC5_MOUSE","Actin-related protein 2/3 complex subunit 5 OS=Mus musculus OX=10090 GN=Arpc5 PE=1 SV=3",4,2,5,5,5,"ARPC5_MOUSE","ARPC5_MOUSE","Q9CPW4","ARPC5_MOUSE","Actin-related protein 2/3 complex subunit 5 OS=Mus musculus OX=10090 GN=Arpc5 PE=1 SV=3",4,2,5,5,5,"ARPC5_MOUSE","ARPC5_MOUSE","Q9CPW4","ARPC5"
"Asah1","ASAH1_MOUSE","Acid ceramidase OS=Mus musculus OX=10090 GN=Asah1 PE=1 SV=1",7,7,2,10,9,"ASAH1_MOUSE","ASAH1_MOUSE","Q9WV54","ASAH1_MOUSE","Acid ceramidase OS=Mus musculus OX=10090 GN=Asah1 PE=1 SV=1",7,7,2,10,9,"ASAH1_MOUSE","ASAH1_MOUSE","Q9WV54","ASAH1"
"Asl","ARLY_MOUSE","Argininosuccinate lyase OS=Mus musculus OX=10090 GN=Asl PE=1 SV=1",6,3,0,7,4,"ARLY_MOUSE","ARLY_MOUSE","Q91YI0","ARLY_MOUSE","Argininosuccinate lyase OS=Mus musculus OX=10090 GN=Asl PE=1 SV=1",6,3,0,7,4,"ARLY_MOUSE","ARLY_MOUSE","Q91YI0","ASL"
"Atic","PUR9_MOUSE","Bifunctional purine biosynthesis protein PURH OS=Mus musculus OX=10090 GN=Atic PE=1 SV=2",11,8,4,5,9,"PUR9_MOUSE","PUR9_MOUSE","Q9CWJ9","PUR9_MOUSE","Bifunctional purine biosynthesis protein PURH OS=Mus musculus OX=10090 GN=Atic PE=1 SV=2",11,8,4,5,9,"PUR9_MOUSE","PUR9_MOUSE","Q9CWJ9","ATIC"
"Atox1","ATOX1_MOUSE","Copper transport protein ATOX1 OS=Mus musculus OX=10090 GN=Atox1 PE=1 SV=1",4,2,3,3,2,"ATOX1_MOUSE","ATOX1_MOUSE","O08997","ATOX1_MOUSE","Copper transport protein ATOX1 OS=Mus musculus OX=10090 GN=Atox1 PE=1 SV=1",4,2,3,3,2,"ATOX1_MOUSE","ATOX1_MOUSE","O08997","ATOX1"
"Atp6v1a","VATA_MOUSE","V-type proton ATPase catalytic subunit A OS=Mus musculus OX=10090 GN=Atp6v1a PE=1 SV=2",14,11,6,13,13,"sp|P50516|VATA_MOUSE","VATA_MOUSE","P50516","VATA_MOUSE","V-type proton ATPase catalytic subunit A OS=Mus musculus OX=10090 GN=Atp6v1a PE=1 SV=2",14,11,6,13,13,"sp|P50516|VATA_MOUSE","VATA_MOUSE","P50516","ATP6V1A"
"Atp6v1b2","VATB2_MOUSE","V-type proton ATPase subunit B, brain isoform OS=Mus musculus OX=10090 GN=Atp6v1b2 PE=1 SV=1",6,5,2,8,7,"VATB2_MOUSE","VATB2_MOUSE","P62814","VATB2_MOUSE","V-type proton ATPase subunit B, brain isoform OS=Mus musculus OX=10090 GN=Atp6v1b2 PE=1 SV=1",6,5,2,8,7,"VATB2_MOUSE","VATB2_MOUSE","P62814","ATP6V1B2"
"Atp6v1e1","VATE1_MOUSE","V-type proton ATPase subunit E 1 OS=Mus musculus OX=10090 GN=Atp6v1e1 PE=1 SV=2",4,3,3,2,3,"VATE1_MOUSE","VATE1_MOUSE","P50518","VATE1_MOUSE","V-type proton ATPase subunit E 1 OS=Mus musculus OX=10090 GN=Atp6v1e1 PE=1 SV=2",4,3,3,2,3,"VATE1_MOUSE","VATE1_MOUSE","P50518","ATP6V1E1"
"Atxn10","ATX10_MOUSE","Ataxin-10 OS=Mus musculus OX=10090 GN=Atxn10 PE=1 SV=2",11,8,3,9,9,"ATX10_MOUSE","ATX10_MOUSE","P28658","ATX10_MOUSE","Ataxin-10 OS=Mus musculus OX=10090 GN=Atxn10 PE=1 SV=2",11,8,3,9,9,"ATX10_MOUSE","ATX10_MOUSE","P28658","ATXN10"
"B2m","B2MG_MOUSE","Beta-2-microglobulin OS=Mus musculus OX=10090 GN=B2m PE=1 SV=2",5,5,6,6,6,"B2MG_MOUSE","B2MG_MOUSE","P01887","B2MG_MOUSE","Beta-2-microglobulin OS=Mus musculus OX=10090 GN=B2m PE=1 SV=2",5,5,6,6,6,"B2MG_MOUSE","B2MG_MOUSE","P01887","B2M"
"B4galt1","B4GT1_MOUSE","Isoform Short of Beta-1,4-galactosyltransferase 1 OS=Mus musculus OX=10090 GN=B4galt1",4,3,4,4,3,"sp|P15535-2|B4GT1_MOUSE (+1)","B4GT1_MOUSE","P15535","B4GT1_MOUSE","Isoform Short of Beta-1,4-galactosyltransferase 1 OS=Mus musculus OX=10090 GN=B4galt1",4,3,4,4,3,"sp|P15535-2|B4GT1_MOUSE (+1)","B4GT1_MOUSE","P15535","B4GALT1"
"Bag1","A0A1L1SRT0_MOUSE","BAG family molecular chaperone regulator 1 OS=Mus musculus OX=10090 GN=Bag1 PE=1 SV=1",3,3,2,3,3,"A0A1L1SRT0_MOUSE (+1)","A0A1L1SRT0_MOUSE","A0A1L1SRT0","A0A1L1SRT0_MOUSE","BAG family molecular chaperone regulator 1 OS=Mus musculus OX=10090 GN=Bag1 PE=1 SV=1",3,3,2,3,3,"A0A1L1SRT0_MOUSE (+1)","A0A1L1SRT0_MOUSE","A0A1L1SRT0","BAG1"
"Banf1","BAF_MOUSE","Barrier-to-autointegration factor OS=Mus musculus OX=10090 GN=Banf1 PE=1 SV=1",2,2,0,2,2,"BAF_MOUSE","BAF_MOUSE","O54962","BAF_MOUSE","Barrier-to-autointegration factor OS=Mus musculus OX=10090 GN=Banf1 PE=1 SV=1",2,2,0,2,2,"BAF_MOUSE","BAF_MOUSE","O54962","BANF1"
"Basp1","BASP1_MOUSE","Brain acid soluble protein 1 OS=Mus musculus OX=10090 GN=Basp1 PE=1 SV=3",4,3,0,3,2,"BASP1_MOUSE","BASP1_MOUSE","Q91XV3","BASP1_MOUSE","Brain acid soluble protein 1 OS=Mus musculus OX=10090 GN=Basp1 PE=1 SV=3",4,3,0,3,2,"BASP1_MOUSE","BASP1_MOUSE","Q91XV3","BASP1"
"Bax","A0A1B0GT81_MOUSE","Apoptosis regulator BAX OS=Mus musculus OX=10090 GN=Bax PE=1 SV=1",3,2,2,2,3,"A0A1B0GT81_MOUSE (+2)","A0A1B0GT81_MOUSE","A0A1B0GT81","A0A1B0GT81_MOUSE","Apoptosis regulator BAX OS=Mus musculus OX=10090 GN=Bax PE=1 SV=1",3,2,2,2,3,"A0A1B0GT81_MOUSE (+2)","A0A1B0GT81_MOUSE","A0A1B0GT81","BAX"
"Bcam","BCAM_MOUSE","Basal cell adhesion molecule OS=Mus musculus OX=10090 GN=Bcam PE=1 SV=1",4,2,0,2,3,"BCAM_MOUSE","BCAM_MOUSE","Q9R069","BCAM_MOUSE","Basal cell adhesion molecule OS=Mus musculus OX=10090 GN=Bcam PE=1 SV=1",4,2,0,2,3,"BCAM_MOUSE","BCAM_MOUSE","Q9R069","BCAM"
"Bgn","PGS1_MOUSE","Biglycan OS=Mus musculus OX=10090 GN=Bgn PE=1 SV=1",11,10,10,13,11,"PGS1_MOUSE","PGS1_MOUSE","P28653","PGS1_MOUSE","Biglycan OS=Mus musculus OX=10090 GN=Bgn PE=1 SV=1",11,10,10,13,11,"PGS1_MOUSE","PGS1_MOUSE","P28653","BGN"
"Blmh","BLMH_MOUSE","Bleomycin hydrolase OS=Mus musculus OX=10090 GN=Blmh PE=1 SV=1",12,4,6,6,5,"BLMH_MOUSE","BLMH_MOUSE","Q8R016","BLMH_MOUSE","Bleomycin hydrolase OS=Mus musculus OX=10090 GN=Blmh PE=1 SV=1",12,4,6,6,5,"BLMH_MOUSE","BLMH_MOUSE","Q8R016","BLMH"
"Blvra","BIEA_MOUSE","Biliverdin reductase A OS=Mus musculus OX=10090 GN=Blvra PE=1 SV=1",6,5,4,7,6,"BIEA_MOUSE","BIEA_MOUSE","Q9CY64","BIEA_MOUSE","Biliverdin reductase A OS=Mus musculus OX=10090 GN=Blvra PE=1 SV=1",6,5,4,7,6,"BIEA_MOUSE","BIEA_MOUSE","Q9CY64","BLVRA"
"Blvrb","BLVRB_MOUSE","Flavin reductase (NADPH) OS=Mus musculus OX=10090 GN=Blvrb PE=1 SV=3",6,10,11,10,8,"BLVRB_MOUSE","BLVRB_MOUSE","Q923D2","BLVRB_MOUSE","Flavin reductase (NADPH) OS=Mus musculus OX=10090 GN=Blvrb PE=1 SV=3",6,10,11,10,8,"BLVRB_MOUSE","BLVRB_MOUSE","Q923D2","BLVRB"
"Bmp1","BMP1_MOUSE","Bone morphogenetic protein 1 OS=Mus musculus OX=10090 GN=Bmp1 PE=1 SV=2",7,3,4,8,6,"BMP1_MOUSE","BMP1_MOUSE","P98063","BMP1_MOUSE","Bone morphogenetic protein 1 OS=Mus musculus OX=10090 GN=Bmp1 PE=1 SV=2",7,3,4,8,6,"BMP1_MOUSE","BMP1_MOUSE","P98063","BMP1"
"Bpgm","PMGE_MOUSE","Bisphosphoglycerate mutase OS=Mus musculus OX=10090 GN=Bpgm PE=1 SV=2",7,8,7,7,8,"PMGE_MOUSE","PMGE_MOUSE","P15327","PMGE_MOUSE","Bisphosphoglycerate mutase OS=Mus musculus OX=10090 GN=Bpgm PE=1 SV=2",7,8,7,7,8,"PMGE_MOUSE","PMGE_MOUSE","P15327","BPGM"
"C1qa","C1QA_MOUSE","Complement C1q subcomponent subunit A OS=Mus musculus OX=10090 GN=C1qa PE=1 SV=2",4,2,0,5,3,"C1QA_MOUSE","C1QA_MOUSE","P98086","C1QA_MOUSE","Complement C1q subcomponent subunit A OS=Mus musculus OX=10090 GN=C1qa PE=1 SV=2",4,2,0,5,3,"C1QA_MOUSE","C1QA_MOUSE","P98086","C1QA"
"C1qc","C1QC_MOUSE","Complement C1q subcomponent subunit C OS=Mus musculus OX=10090 GN=C1qc PE=1 SV=2",4,3,2,3,3,"C1QC_MOUSE","C1QC_MOUSE","Q02105","C1QC_MOUSE","Complement C1q subcomponent subunit C OS=Mus musculus OX=10090 GN=C1qc PE=1 SV=2",4,3,2,3,3,"C1QC_MOUSE","C1QC_MOUSE","Q02105","C1QC"
"C1qtnf1","C1QT1_MOUSE","Complement C1q tumor necrosis factor-related protein 1 OS=Mus musculus OX=10090 GN=C1qtnf1 PE=2 SV=1",4,3,0,5,5,"C1QT1_MOUSE","C1QT1_MOUSE","Q9QXP7","C1QT1_MOUSE","Complement C1q tumor necrosis factor-related protein 1 OS=Mus musculus OX=10090 GN=C1qtnf1 PE=2 SV=1",4,3,0,5,5,"C1QT1_MOUSE","C1QT1_MOUSE","Q9QXP7","C1QTNF1"
"C3","CO3_MOUSE","Complement C3 OS=Mus musculus OX=10090 GN=C3 PE=1 SV=3",10,8,8,11,9,"sp|P01027|CO3_MOUSE","CO3_MOUSE","P01027","CO3_MOUSE","Complement C3 OS=Mus musculus OX=10090 GN=C3 PE=1 SV=3",10,8,8,11,9,"sp|P01027|CO3_MOUSE","CO3_MOUSE","P01027","C3"
"C4b","CO4B_MOUSE","Complement C4-B OS=Mus musculus OX=10090 GN=C4b PE=1 SV=3",2,2,4,2,2,"CO4B_MOUSE","CO4B_MOUSE","P01029","CO4B_MOUSE","Complement C4-B OS=Mus musculus OX=10090 GN=C4b PE=1 SV=3",2,2,4,2,2,"CO4B_MOUSE","CO4B_MOUSE","P01029","C4B"
"Cab39","CAB39_MOUSE","Calcium-binding protein 39 OS=Mus musculus OX=10090 GN=Cab39 PE=1 SV=2",7,2,2,6,5,"CAB39_MOUSE","CAB39_MOUSE","Q06138","CAB39_MOUSE","Calcium-binding protein 39 OS=Mus musculus OX=10090 GN=Cab39 PE=1 SV=2",7,2,2,6,5,"CAB39_MOUSE","CAB39_MOUSE","Q06138","CAB39"
"Cacybp","CYBP_MOUSE","Calcyclin-binding protein OS=Mus musculus OX=10090 GN=Cacybp PE=1 SV=1",5,6,3,4,5,"CYBP_MOUSE","CYBP_MOUSE","Q9CXW3","CYBP_MOUSE","Calcyclin-binding protein OS=Mus musculus OX=10090 GN=Cacybp PE=1 SV=1",5,6,3,4,5,"CYBP_MOUSE","CYBP_MOUSE","Q9CXW3","CACYBP"
"Cald1","E9QA16_MOUSE","Caldesmon 1 OS=Mus musculus OX=10090 GN=Cald1 PE=1 SV=1",9,8,9,10,9,"E9QA16_MOUSE (+1)","E9QA16_MOUSE","E9QA16","E9QA16_MOUSE","Caldesmon 1 OS=Mus musculus OX=10090 GN=Cald1 PE=1 SV=1",9,8,9,10,9,"E9QA16_MOUSE (+1)","E9QA16_MOUSE","E9QA16","CALD1"
"Calm2","CALM2_MOUSE","Calmodulin-2 OS=Mus musculus OX=10090 GN=Calm2 PE=1 SV=1",5,3,2,4,5,"CALM2_MOUSE (+1)","CALM2_MOUSE","P0DP27","CALM2_MOUSE","Calmodulin-2 OS=Mus musculus OX=10090 GN=Calm2 PE=1 SV=1",5,3,2,4,5,"CALM2_MOUSE (+1)","CALM2_MOUSE","P0DP27","CALM2"
"Calr","CALR_MOUSE","Calreticulin OS=Mus musculus OX=10090 GN=Calr PE=1 SV=1",23,21,19,22,21,"CALR_MOUSE","CALR_MOUSE","P14211","CALR_MOUSE","Calreticulin OS=Mus musculus OX=10090 GN=Calr PE=1 SV=1",23,21,19,22,21,"CALR_MOUSE","CALR_MOUSE","P14211","CALR"
"Calu","CALU_MOUSE","Calumenin OS=Mus musculus OX=10090 GN=Calu PE=1 SV=1",13,9,5,8,11,"CALU_MOUSE","CALU_MOUSE","O35887","CALU_MOUSE","Calumenin OS=Mus musculus OX=10090 GN=Calu PE=1 SV=1",13,9,5,8,11,"CALU_MOUSE","CALU_MOUSE","O35887","CALU"
"Cand1","CAND1_MOUSE","Cullin-associated NEDD8-dissociated protein 1 OS=Mus musculus OX=10090 GN=Cand1 PE=1 SV=2",13,15,2,12,13,"CAND1_MOUSE","CAND1_MOUSE","Q6ZQ38","CAND1_MOUSE","Cullin-associated NEDD8-dissociated protein 1 OS=Mus musculus OX=10090 GN=Cand1 PE=1 SV=2",13,15,2,12,13,"CAND1_MOUSE","CAND1_MOUSE","Q6ZQ38","CAND1"
"Cap1","CAP1_MOUSE","Adenylyl cyclase-associated protein 1 OS=Mus musculus OX=10090 GN=Cap1 PE=1 SV=4",12,12,6,14,14,"CAP1_MOUSE","CAP1_MOUSE","P40124","CAP1_MOUSE","Adenylyl cyclase-associated protein 1 OS=Mus musculus OX=10090 GN=Cap1 PE=1 SV=4",12,12,6,14,14,"CAP1_MOUSE","CAP1_MOUSE","P40124","CAP1"
"Capg","Q99LB4_MOUSE","Capping protein (Actin filament), gelsolin-like OS=Mus musculus OX=10090 GN=Capg PE=1 SV=1",8,8,7,10,9,"Q99LB4_MOUSE","Q99LB4_MOUSE","Q99LB4","Q99LB4_MOUSE","Capping protein (Actin filament), gelsolin-like OS=Mus musculus OX=10090 GN=Capg PE=1 SV=1",8,8,7,10,9,"Q99LB4_MOUSE","Q99LB4_MOUSE","Q99LB4","CAPG"
"Capn1","CAN1_MOUSE","Calpain-1 catalytic subunit OS=Mus musculus OX=10090 GN=Capn1 PE=1 SV=1",5,5,0,8,7,"CAN1_MOUSE","CAN1_MOUSE","O35350","CAN1_MOUSE","Calpain-1 catalytic subunit OS=Mus musculus OX=10090 GN=Capn1 PE=1 SV=1",5,5,0,8,7,"CAN1_MOUSE","CAN1_MOUSE","O35350","CAPN1"
"Capn2","CAN2_MOUSE","Calpain-2 catalytic subunit OS=Mus musculus OX=10090 GN=Capn2 PE=1 SV=4",5,3,2,7,6,"CAN2_MOUSE","CAN2_MOUSE","O08529","CAN2_MOUSE","Calpain-2 catalytic subunit OS=Mus musculus OX=10090 GN=Capn2 PE=1 SV=4",5,3,2,7,6,"CAN2_MOUSE","CAN2_MOUSE","O08529","CAPN2"
"Capns1","A0A0R4IZW8_MOUSE","Calpain small subunit 1 OS=Mus musculus OX=10090 GN=Capns1 PE=1 SV=1",2,2,0,2,3,"A0A0R4IZW8_MOUSE (+2)","A0A0R4IZW8_MOUSE","A0A0R4IZW8","A0A0R4IZW8_MOUSE","Calpain small subunit 1 OS=Mus musculus OX=10090 GN=Capns1 PE=1 SV=1",2,2,0,2,3,"A0A0R4IZW8_MOUSE (+2)","A0A0R4IZW8_MOUSE","A0A0R4IZW8","CAPNS1"
"Capza1","Q5RKN9_MOUSE","Capping protein (Actin filament) muscle Z-line, alpha 1 OS=Mus musculus OX=10090 GN=Capza1 PE=1 SV=1",6,6,4,7,7,"Q5RKN9_MOUSE","Q5RKN9_MOUSE","Q5RKN9","Q5RKN9_MOUSE","Capping protein (Actin filament) muscle Z-line, alpha 1 OS=Mus musculus OX=10090 GN=Capza1 PE=1 SV=1",6,6,4,7,7,"Q5RKN9_MOUSE","Q5RKN9_MOUSE","Q5RKN9","CAPZA1"
"Capza2","CAZA2_MOUSE","F-actin-capping protein subunit alpha-2 OS=Mus musculus OX=10090 GN=Capza2 PE=1 SV=3",11,9,5,10,10,"CAZA2_MOUSE","CAZA2_MOUSE","P47754","CAZA2_MOUSE","F-actin-capping protein subunit alpha-2 OS=Mus musculus OX=10090 GN=Capza2 PE=1 SV=3",11,9,5,10,10,"CAZA2_MOUSE","CAZA2_MOUSE","P47754","CAPZA2"
"Capzb","CAPZB_MOUSE","Isoform 2 of F-actin-capping protein subunit beta OS=Mus musculus OX=10090 GN=Capzb",11,10,11,14,15,"sp|P47757-2|CAPZB_MOUSE","CAPZB_MOUSE","P47757","CAPZB_MOUSE","Isoform 2 of F-actin-capping protein subunit beta OS=Mus musculus OX=10090 GN=Capzb",11,10,11,14,15,"sp|P47757-2|CAPZB_MOUSE","CAPZB_MOUSE","P47757","CAPZB"
"Carm1","D3YUP1_MOUSE","Histone-arginine methyltransferase CARM1 OS=Mus musculus OX=10090 GN=Carm1 PE=1 SV=1",2,2,2,0,2,"D3YUP1_MOUSE (+2)","D3YUP1_MOUSE","D3YUP1","D3YUP1_MOUSE","Histone-arginine methyltransferase CARM1 OS=Mus musculus OX=10090 GN=Carm1 PE=1 SV=1",2,2,2,0,2,"D3YUP1_MOUSE (+2)","D3YUP1_MOUSE","D3YUP1","CARM1"
"Cars","SYCC_MOUSE","Cysteine--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=Cars PE=1 SV=2",9,6,4,4,6,"sp|Q9ER72|SYCC_MOUSE","SYCC_MOUSE","Q9ER72","SYCC_MOUSE","Cysteine--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=Cars PE=1 SV=2",9,6,4,4,6,"sp|Q9ER72|SYCC_MOUSE","SYCC_MOUSE","Q9ER72","CARS1"
"Cast","Q8CE80_MOUSE","Calpastatin OS=Mus musculus OX=10090 GN=Cast PE=1 SV=1",8,6,2,6,6,"Q8CE80_MOUSE (+1)","Q8CE80_MOUSE","Q8CE80","Q8CE80_MOUSE","Calpastatin OS=Mus musculus OX=10090 GN=Cast PE=1 SV=1",8,6,2,6,6,"Q8CE80_MOUSE (+1)","Q8CE80_MOUSE","Q8CE80","CAST"
"Cat","CATA_MOUSE","Catalase OS=Mus musculus OX=10090 GN=Cat PE=1 SV=4",14,12,7,9,5,"CATA_MOUSE","CATA_MOUSE","P24270","CATA_MOUSE","Catalase OS=Mus musculus OX=10090 GN=Cat PE=1 SV=4",14,12,7,9,5,"CATA_MOUSE","CATA_MOUSE","P24270","CAT"
"Cbr1","CBR1_MOUSE","Carbonyl reductase [NADPH] 1 OS=Mus musculus OX=10090 GN=Cbr1 PE=1 SV=3",3,0,2,3,4,"CBR1_MOUSE","CBR1_MOUSE","P48758","CBR1_MOUSE","Carbonyl reductase [NADPH] 1 OS=Mus musculus OX=10090 GN=Cbr1 PE=1 SV=3",3,0,2,3,4,"CBR1_MOUSE","CBR1_MOUSE","P48758","CBR1"
"Cbx3","CBX3_MOUSE","Chromobox protein homolog 3 OS=Mus musculus OX=10090 GN=Cbx3 PE=1 SV=2",4,3,3,4,4,"CBX3_MOUSE (+1)","CBX3_MOUSE","P23198","CBX3_MOUSE","Chromobox protein homolog 3 OS=Mus musculus OX=10090 GN=Cbx3 PE=1 SV=2",4,3,3,4,4,"CBX3_MOUSE (+1)","CBX3_MOUSE","P23198","CBX3"
"Ccl2","CCL2_MOUSE","C-C motif chemokine 2 OS=Mus musculus OX=10090 GN=Ccl2 PE=1 SV=1",2,3,0,2,4,"CCL2_MOUSE","CCL2_MOUSE","P10148","CCL2_MOUSE","C-C motif chemokine 2 OS=Mus musculus OX=10090 GN=Ccl2 PE=1 SV=1",2,3,0,2,4,"CCL2_MOUSE","CCL2_MOUSE","P10148","CCL2"
"Ccl7","CCL7_MOUSE","C-C motif chemokine 7 OS=Mus musculus OX=10090 GN=Ccl7 PE=3 SV=1",3,2,0,3,2,"CCL7_MOUSE","CCL7_MOUSE","Q03366","CCL7_MOUSE","C-C motif chemokine 7 OS=Mus musculus OX=10090 GN=Ccl7 PE=3 SV=1",3,2,0,3,2,"CCL7_MOUSE","CCL7_MOUSE","Q03366","CCL7"
"Cct2","TCPB_MOUSE","T-complex protein 1 subunit beta OS=Mus musculus OX=10090 GN=Cct2 PE=1 SV=4",16,17,8,14,17,"TCPB_MOUSE","TCPB_MOUSE","P80314","TCPB_MOUSE","T-complex protein 1 subunit beta OS=Mus musculus OX=10090 GN=Cct2 PE=1 SV=4",16,17,8,14,17,"TCPB_MOUSE","TCPB_MOUSE","P80314","CCT2"
"Cct3","TCPG_MOUSE","T-complex protein 1 subunit gamma OS=Mus musculus OX=10090 GN=Cct3 PE=1 SV=1",15,14,4,14,11,"TCPG_MOUSE","TCPG_MOUSE","P80318","TCPG_MOUSE","T-complex protein 1 subunit gamma OS=Mus musculus OX=10090 GN=Cct3 PE=1 SV=1",15,14,4,14,11,"TCPG_MOUSE","TCPG_MOUSE","P80318","CCT3"
"Cct4","TCPD_MOUSE","T-complex protein 1 subunit delta OS=Mus musculus OX=10090 GN=Cct4 PE=1 SV=3",14,11,6,10,11,"TCPD_MOUSE","TCPD_MOUSE","P80315","TCPD_MOUSE","T-complex protein 1 subunit delta OS=Mus musculus OX=10090 GN=Cct4 PE=1 SV=3",14,11,6,10,11,"TCPD_MOUSE","TCPD_MOUSE","P80315","CCT4"
"Cct5","TCPE_MOUSE","T-complex protein 1 subunit epsilon OS=Mus musculus OX=10090 GN=Cct5 PE=1 SV=1",12,7,5,11,9,"TCPE_MOUSE","TCPE_MOUSE","P80316","TCPE_MOUSE","T-complex protein 1 subunit epsilon OS=Mus musculus OX=10090 GN=Cct5 PE=1 SV=1",12,7,5,11,9,"TCPE_MOUSE","TCPE_MOUSE","P80316","CCT5"
"Cct6a","TCPZ_MOUSE","T-complex protein 1 subunit zeta OS=Mus musculus OX=10090 GN=Cct6a PE=1 SV=3",6,5,3,5,7,"TCPZ_MOUSE","TCPZ_MOUSE","P80317","TCPZ_MOUSE","T-complex protein 1 subunit zeta OS=Mus musculus OX=10090 GN=Cct6a PE=1 SV=3",6,5,3,5,7,"TCPZ_MOUSE","TCPZ_MOUSE","P80317","CCT6A"
"Cct7","TCPH_MOUSE","T-complex protein 1 subunit eta OS=Mus musculus OX=10090 GN=Cct7 PE=1 SV=1",13,9,6,9,10,"TCPH_MOUSE","TCPH_MOUSE","P80313","TCPH_MOUSE","T-complex protein 1 subunit eta OS=Mus musculus OX=10090 GN=Cct7 PE=1 SV=1",13,9,6,9,10,"TCPH_MOUSE","TCPH_MOUSE","P80313","CCT7"
